,make,model,year,kms,kind,price
7624,Honda,City,2012,123000,Sedán,7027.03
8015,Ford,Ka,2012,84000,Hatchback,4459.46
822,Volkswagen,Gol Trend,2012,140000,Hatchback,5000.0
2619,Ford,Fiesta Kinetic Design,2014,60000,Hatchback,7837.84
4774,Mercedes Benz,Clase C,2011,64600,Sedán,12162.16
2722,Volkswagen,Polo,2017,28000,Hatchback,10405.41
4366,Volkswagen,Vento,2012,98000,Sedán,10810.81
819,Volkswagen,Gol Trend,2013,90000,Hatchback,5675.68
3219,Volkswagen,Touareg,2012,132000,SUV,26486.49
1014,Volkswagen,Voyage,2012,103000,Sedán,6351.35
6847,Mercedes Benz,Clase SLK,2014,60000,Cabriolet,1675.68
8537,Volkswagen,Amarok,2011,150000,Pick-Up,12432.43
88,Volkswagen,Gol Trend,2012,57200,Hatchback,5945.95
236,Ford,Ka,2011,90000,Hatchback,3918.92
4900,Ford,Fiesta Kinetic Design,2013,111000,Hatchback,7432.43
4335,Volkswagen,Bora,2013,95000,Sedán,6972.97
1658,Volkswagen,Amarok,2012,103000,Pick-Up,15672.97
6217,Volkswagen,Fox,2017,18000,Hatchback,9729.73
5949,Volkswagen,Gol Trend,2013,86500,Hatchback,4594.59
7107,Honda,HR-V,2018,6000,SUV,19405.41
5751,Volkswagen,Up!,2015,57000,Hatchback,5405.38
8546,Volkswagen,Scirocco,2013,69000,Coupé,16486.49
4763,Ford,Ecosport,2011,82500,SUV,4864.86
4534,Ford,Kuga,2011,92400,SUV,8081.08
3788,Volkswagen,Passat,2013,108300,Sedán,11081.08
7240,Volkswagen,Vento,2013,119000,Sedán,12351.35
3639,Ford,Fiesta Kinetic Design,2015,70000,Hatchback,8672.97
6482,Volkswagen,Gol Trend,2017,26000,Hatchback,6756.76
7414,Volkswagen,Passat,2011,92000,Sedán,9189.19
251,Ford,Focus III,2017,8500,Hatchback,17297.3
5156,Volkswagen,Fox,2014,64000,Hatchback,7837.84
4472,Volkswagen,CC,2013,69000,Sedán,16216.22
6471,Ford,Fiesta Kinetic Design,2014,45300,Hatchback,8918.92
8763,Volkswagen,Touareg,2013,125200,SUV,19729.73
6125,Volkswagen,Gol Trend,2013,87000,Hatchback,4864.86
7799,Volkswagen,Vento,2013,86000,Sedán,8378.38
9150,Volkswagen,Fox,2013,100000,Hatchback,7027.03
545,Volkswagen,Vento,2011,123000,Sedán,9729.73
4767,Ford,Fiesta,2012,110000,Hatchback,4324.32
8931,Ford,Ranger,2016,13000,Pick-Up,22432.43
8314,Volkswagen,Gol Trend,2013,80000,Hatchback,5945.95
